SrNo,CensusCode,Load,VillageName
353,548556,1171,Jalki[Vasai]
354,548563,543,Jambhai
355,548561,133,Janasi
356,548551,22,Janjala
357,548654,2283,Kaigaon
358,548595,270,Kajipur
359,548604,1256,Kasod
360,548529,1934,Kelgaon
361,548637,4062,Kerhala
362,548570,701,Khandala
363,548620,353,Khatkheda
364,548572,1071,Khedi
365,548568,1057,Khullod
366,548600,1363,Khupta
367,548528,164,Korhala
368,548543,1490,Kotnandra
369,548613,159,Kutubpur
370,548571,1961,Leha
371,548624,920,Lonwadi
372,548588,1484,Madni
373,548625,518,Mandgaon
374,548573,2122,Mandna
375,548631,2625,Mangrul
376,548623,657,Mhasla Bk.
377,548621,953,Mhasla Kh.
378,548608,3670,Modha Bk.
379,548614,1702,Modha Kh.
380,548574,922,Mohal
381,548579,349,Mukpath
382,548550,336,Nanegaon
383,548586,663,Natvi
384,548649,3908,Nillod
385,548630,3227,Palod
386,548627,3685,Palshi
387,548594,549,Panas
388,548558,869,Pangri
389,548538,1573,Pendgaon (Amthana)
390,548578,932,Pimpaldari
391,548530,0,Pimpalgaon Ghat
392,548641,1338,Pimpalgaon Peth
393,548639,863,Pimpri
394,548611,546,Pirola
395,548633,2982,Rahimabad
396,548581,271,Ranjani
397,548564,843,Relgaon
398,548592,340,Sarati
399,548603,1928,Sarola
400,548566,497,Sasurwada
401,548542,1310,Sawkheda Bk.
402,548547,445,Sawkheda Kh.
403,548562,441,Shekhapur
404,548535,1288,Shindephal
405,548589,4758,Shivna
406,548560,484,Sirsala
407,548549,207,Sirsala Tanda
408,548617,731,Sisarkheda
409,548546,731,Sonappawadi
410,548655,903,Takli Jiwrag
411,548622,120,Takli Kh.
412,548534,1416,Talni
413,548644,653,Talwada
414,548569,2964,Undangaon
415,548626,1964,Upli
416,548557,569,Virgaon
417,548576,894,Wadala
418,548587,252,Wadali
419,548606,2533,Wadod Chatha
420,548598,2346,Wadodpan Bk.
421,548602,1342,Wadodpan Kh.
422,548585,386,Waghera
423,548609,1157,Wangi Bk.
424,548607,1603,Wangi Kh.
425,548615,519,Wanjola
426,548653,395,Warkhedi
427,548640,1082,Warud Kh.
428,548555,968,Wasai
429,802764,20430,Sillod (M CI)
430,548714,0,Adgaon  Kh.
431,548693,78,Adgaon Bk.
432,548681,2653,Alad
433,548744,1179,Babhulgaon
434,548677,531,Babhulgaon Kh.
435,548667,3634,Babra
436,548706,2690,Bhalgaon
437,548711,427,Bhawadi
438,548726,277,Bhoygaon
439,548737,1687,Bilda
440,548665,1557,Bodhegaon Bk.
441,548666,854,Bodhegaon Kh.
442,548698,1668,Borgaon Arj
443,548668,956,Chincholi (Nakib)
444,548740,771,Chincholi Bk
445,548729,627,Daregaon
446,548741,5695,Dhamangaon
447,548658,524,Dhanora
448,548725,1791,Dongargaon Kawad
449,548692,1450,Dongargaon Shev
450,548730,8251,Fulambri
451,548735,4580,Ganori
